pid,technique,granularity,windows,trialNo,time,accuracy,steps
4,TRADITIONAL,paragraph,Single,2,5432,1,6
4,TRADITIONAL,paragraph,Single,3,5999,1,6
4,TRADITIONAL,phrase,Multiple,1,22891,1,6
4,TRADITIONAL,phrase,Multiple,2,10640,1,6
4,TRADITIONAL,phrase,Multiple,3,16566,1,6
4,TRADITIONAL,phrase,Single,1,9061,1,6
4,TRADITIONAL,phrase,Single,2,9487,1,6
4,TRADITIONAL,phrase,Single,3,7903,1,4
4,TRADITIONAL,sentence,Multiple,1,11742,1,6
4,TRADITIONAL,sentence,Multiple,2,11469,1,6
4,TRADITIONAL,sentence,Multiple,3,25540,1,6
4,TRADITIONAL,sentence,Single,1,9270,1,6
4,TRADITIONAL,sentence,Single,2,7391,1,4
4,TRADITIONAL,sentence,Single,3,12390,1,6
4,AUTOCOMPASTE,paragraph,Multiple,1,19870,1,17
4,AUTOCOMPASTE,paragraph,Multiple,2,11699,1,10
4,AUTOCOMPASTE,paragraph,Multiple,3,9878,1,7
4,AUTOCOMPASTE,paragraph,Single,1,13413,1,12
4,AUTOCOMPASTE,paragraph,Single,2,28713,1,17
4,AUTOCOMPASTE,paragraph,Single,3,11510,1,7
4,AUTOCOMPASTE,phrase,Multiple,1,41369,1,12
4,AUTOCOMPASTE,phrase,Multiple,2,19411,1,6
4,AUTOCOMPASTE,phrase,Multiple,3,19164,1,2
4,AUTOCOMPASTE,phrase,Single,1,15293,1,7
4,AUTOCOMPASTE,phrase,Single,2,21500,1,8
4,AUTOCOMPASTE,phrase,Single,3,21083,1,9
4,AUTOCOMPASTE,sentence,Multiple,1,9494,1,4
4,AUTOCOMPASTE,sentence,Multiple,2,9759,1,5
4,AUTOCOMPASTE,sentence,Multiple,3,8614,1,5
4,AUTOCOMPASTE,sentence,Single,1,6719,1,3
4,AUTOCOMPASTE,sentence,Single,2,10654,1,6
4,AUTOCOMPASTE,sentence,Single,3,7895,1,5
